10000 2
31 -47 0 
37 42 1 
38 -28 1 
34 -46 0 
37 -23 1 
-21 44 1 
30 44 1 
-35 47 1 
-22 -40 0 
35 -49 0 
22 -42 0 
21 -49 0 
-33 14 0 
38 30 1 
-37 -47 0 
29 30 1 
-24 -50 0 
-32 16 0 
22 48 1 
-26 -45 0 
-24 -33 0 
-36 21 0 
22 -43 0 
-39 19 0 
36 -20 1 
-30 -30 0 
-27 -43 0 
-40 16 0 
27 31 1 
20 38 1 
39 -16 1 
40 46 1 
-35 -42 0 
-31 -31 0 
24 -47 0 
-28 13 0 
-30 -34 0 
30 -17 1 
-35 -50 0 
-24 -35 0 
30 42 1 
-27 39 1 
34 -13 1 
-32 -31 0 
24 -38 0 
-29 -48 0 
29 -49 0 
-39 -30 0 
-20 -36 0 
26 47 1 
37 36 1 
-33 -43 0 
-22 -35 0 
-27 -40 0 
33 -50 0 
27 34 1 
30 -18 1 
-29 39 1 
25 -12 1 
22 -39 0 
-31 -44 0 
-27 -46 0 
-25 -50 0 
-26 -32 0 
24 -13 1 
-28 50 1 
-26 -30 0 
-30 46 1 
-30 13 0 
-38 -44 0 
23 -40 0 
-32 15 0 
-31 -39 0 
-34 -45 0 
-27 -43 0 
-36 14 0 
-39 12 0 
37 -14 1 
35 -17 1 
28 -40 0 
24 44 1 
21 -40 0 
29 -46 0 
33 50 1 
-32 -35 0 
-32 -36 0 
38 32 1 
34 41 1 
37 -25 1 
-31 -48 0 
-22 39 1 
-26 -38 0 
-33 -39 0 
25 40 1 
39 -16 1 
37 -20 1 
37 -17 1 
-23 -35 0 
-23 39 1 
-26 -45 0 
22 -11 1 
-21 -34 0 
32 46 1 
24 33 1 
-23 35 1 
-33 12 0 
32 -16 1 
20 43 1 
-30 41 1 
-28 17 0 
38 38 1 
-26 44 1 
-40 15 0 
22 39 1 
-34 -48 0 
-31 -32 0 
39 -21 1 
30 -41 0 
31 -50 0 
-26 -35 0 
-28 47 1 
36 36 1 
-39 -41 0 
-24 11 0 
40 -24 1 
23 -37 0 
-38 48 1 
38 32 1 
-35 -42 0 
-22 -49 0 
-26 14 0 
-21 38 1 
38 -27 1 
-36 16 0 
29 42 1 
-31 -36 0 
34 -23 1 
29 43 1 
-35 -40 0 
-40 -34 0 
25 40 1 
-30 45 1 
-32 10 0 
27 -15 1 
-24 -49 0 
-37 -50 0 
36 -47 0 
31 -42 0 
-38 -33 0 
40 34 1 
34 49 1 
-30 -46 0 
23 47 1 
-33 -41 0 
-35 46 1 
-21 -48 0 
-38 14 0 
-21 40 1 
-34 -47 0 
23 -44 0 
40 -16 1 
-36 -46 0 
-21 -33 0 
25 44 1 
-37 24 0 
-38 23 0 
-32 -50 0 
-23 43 1 
-28 13 0 
-25 43 1 
-39 -37 0 
39 -25 1 
-26 -37 0 
-28 44 1 
-26 -49 0 
-31 18 0 
36 50 1 
-20 37 1 
27 -13 1 
-30 -49 0 
-33 11 0 
26 -40 0 
33 -46 0 
37 46 1 
20 -35 0 
31 45 1 
-40 50 1 
24 -38 0 
-25 -36 0 
-40 10 0 
26 47 1 
31 -16 1 
29 35 1 
22 -40 0 
-24 40 1 
-25 45 1 
23 -41 0 
40 40 1 
40 -28 1 
21 -42 0 
-35 -35 0 
29 -13 1 
-35 45 1 
-25 -35 0 
32 49 1 
-40 22 0 
-29 48 1 
-36 -39 0 
-37 -31 0 
-32 -34 0 
40 -18 1 
26 -49 0 
23 50 1 
-36 -32 0 
-40 -42 0 
-39 -45 0 
-20 46 1 
27 43 1 
-35 14 0 
36 -50 0 
29 -50 0 
-20 36 1 
-31 15 0 
-21 42 1 
36 45 1 
30 -11 1 
21 -36 0 
-39 -44 0 
33 34 1 
38 -15 1 
22 -38 0 
28 -11 1 
27 44 1 
-32 -47 0 
-40 -40 0 
38 -28 1 
-20 47 1 
34 -19 1 
28 -40 0 
20 -34 0 
-39 -36 0 
-23 36 1 
27 -16 1 
32 36 1 
-36 -32 0 
-22 43 1 
-30 -39 0 
-32 16 0 
24 36 1 
-25 44 1 
36 -13 1 
23 -43 0 
29 31 1 
-21 10 0 
32 47 1 
21 -10 1 
29 40 1 
-25 -30 0 
30 31 1 
36 45 1 
-28 40 1 
35 -48 0 
35 43 1 
29 -44 0 
-36 -35 0 
37 -13 1 
30 -45 0 
-27 16 0 
-37 -30 0 
-34 -30 0 
21 42 1 
39 -26 1 
-20 40 1 
-39 -31 0 
40 43 1 
-36 -49 0 
33 -49 0 
-31 -31 0 
25 49 1 
34 34 1 
28 -39 0 
27 34 1 
-25 -34 0 
-29 -47 0 
-38 14 0 
-32 16 0 
-32 44 1 
-32 45 1 
39 -26 1 
36 -10 1 
-21 37 1 
-20 -38 0 
22 -47 0 
29 -41 0 
-32 -30 0 
28 -15 1 
-23 -31 0 
32 50 1 
26 -49 0 
25 -38 0 
29 47 1 
30 -18 1 
30 42 1 
26 -13 1 
-31 15 0 
-23 -42 0 
-34 47 1 
-29 -44 0 
35 41 1 
-32 12 0 
30 -15 1 
31 -21 1 
-26 -34 0 
-36 23 0 
-35 -50 0 
-25 48 1 
31 31 1 
-33 19 0 
-40 11 0 
-34 16 0 
21 -47 0 
-39 -37 0 
36 37 1 
-24 -31 0 
40 48 1 
-32 49 1 
-30 40 1 
-35 19 0 
36 35 1 
-40 -37 0 
25 38 1 
32 -19 1 
-23 41 1 
-21 -36 0 
-32 -31 0 
23 -39 0 
25 -11 1 
-25 45 1 
-27 37 1 
40 -23 1 
-33 -32 0 
-39 12 0 
-39 15 0 
-37 -40 0 
-28 17 0 
25 -40 0 
-36 -44 0 
40 -30 1 
-20 -46 0 
-24 -41 0 
-39 18 0 
-31 13 0 
-30 42 1 
-21 -39 0 
-36 21 0 
-39 -36 0 
36 48 1 
-20 -30 0 
-40 -30 0 
25 -12 1 
28 -17 1 
28 49 1 
-32 -45 0 
38 -21 1 
-31 -44 0 
20 31 1 
-38 -41 0 
-29 -46 0 
-27 -49 0 
29 45 1 
-38 -34 0 
-26 48 1 
32 -10 1 
33 -20 1 
-34 13 0 
35 37 1 
-32 -43 0 
39 48 1 
20 46 1 
23 -46 0 
-24 -48 0 
-22 49 1 
27 35 1 
-35 46 1 
36 36 1 
-22 -46 0 
-34 50 1 
-22 -47 0 
-27 45 1 
-23 -34 0 
38 -17 1 
-31 -30 0 
27 -14 1 
-23 -41 0 
-24 50 1 
-39 12 0 
-21 -48 0 
32 30 1 
-34 14 0 
-37 10 0 
33 48 1 
31 36 1 
-36 14 0 
32 -45 0 
-20 -41 0 
32 -10 1 
28 -10 1 
-39 18 0 
24 41 1 
37 -25 1 
39 -17 1 
-33 14 0 
33 -15 1 
37 38 1 
30 -44 0 
-30 -40 0 
-39 25 0 
-32 47 1 
-33 15 0 
-34 -43 0 
-39 -35 0 
-27 -34 0 
34 32 1 
20 43 1 
-34 -42 0 
33 42 1 
-21 36 1 
30 42 1 
-20 -45 0 
39 -27 1 
34 38 1 
28 43 1 
25 -39 0 
-21 34 1 
-26 12 0 
26 -12 1 
-39 24 0 
40 30 1 
29 -19 1 
-27 -42 0 
30 40 1 
-37 -43 0 
-21 42 1 
-31 -47 0 
-37 -30 0 
-40 -45 0 
-25 -49 0 
-22 32 1 
-27 -43 0 
-30 -43 0 
-22 48 1 
-33 -38 0 
36 39 1 
-27 -43 0 
37 -13 1 
-24 46 1 
-39 -50 0 
30 48 1 
-27 -41 0 
-22 37 1 
-33 -42 0 
23 -45 0 
-27 13 0 
-26 -39 0 
40 -12 1 
37 43 1 
26 -11 1 
36 -13 1 
-33 -49 0 
-20 50 1 
28 31 1 
-35 19 0 
-39 49 1 
-20 40 1 
-33 14 0 
-25 41 1 
-24 -46 0 
40 35 1 
-32 12 0 
25 -11 1 
-22 -36 0 
-29 12 0 
-28 -49 0 
36 -16 1 
-38 12 0 
36 -49 0 
20 38 1 
29 44 1 
-32 -46 0 
35 -19 1 
-32 48 1 
-35 -38 0 
23 42 1 
-29 44 1 
-22 -46 0 
-36 -34 0 
32 -45 0 
34 -23 1 
21 -35 0 
-24 -32 0 
21 -41 0 
-34 17 0 
-27 48 1 
-34 -43 0 
35 44 1 
-35 20 0 
-38 -46 0 
-35 -40 0 
40 -16 1 
39 33 1 
-20 -32 0 
28 -14 1 
-27 46 1 
31 -44 0 
-36 -41 0 
24 -37 0 
40 -23 1 
28 34 1 
-40 -32 0 
30 -14 1 
-21 32 1 
39 50 1 
-22 -48 0 
31 -20 1 
-32 42 1 
-38 24 0 
24 32 1 
-22 45 1 
-20 -33 0 
-25 -40 0 
35 31 1 
-22 45 1 
-23 -47 0 
24 48 1 
-24 -36 0 
-36 -30 0 
35 -20 1 
-36 15 0 
-26 41 1 
-32 14 0 
-20 44 1 
25 -46 0 
39 42 1 
-25 -36 0 
39 -24 1 
33 35 1 
-34 12 0 
24 -40 0 
35 32 1 
-26 -35 0 
22 -12 1 
39 49 1 
-22 39 1 
-32 50 1 
31 -48 0 
32 -49 0 
36 36 1 
-23 -39 0 
-39 -42 0 
-27 11 0 
-36 -39 0 
-22 -43 0 
28 41 1 
-35 -48 0 
-23 -50 0 
21 -47 0 
26 -47 0 
-35 -47 0 
-20 -39 0 
33 -46 0 
-24 -32 0 
34 -23 1 
36 -10 1 
31 39 1 
-38 25 0 
39 34 1 
23 -48 0 
24 -49 0 
40 41 1 
34 -14 1 
34 49 1 
-27 45 1 
27 37 1 
26 -48 0 
24 34 1 
20 -48 0 
-23 40 1 
